cluster,AVG_SUMMER_TEMP,MIN_SUMMER_TEMP,MAX_SUMMER_TEMP,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,LATITUDE_DD,LONGITUDE_DD
-1,18.472499974999998,10.4,22.5,10.4,8.62,12.69,47.6792331294964,-86.78401776978417
0,15.833333333333334,11.5,20.5,11.36,9.95,12.97,46.50797437125748,-86.56845193612774
1,17.52857142857143,14.0,21.1,10.24185185185185,9.08,12.89,46.51688563474387,-87.33678788418707
2,19.422221999999998,17.0,22.0,10.905121951219513,8.73,12.99,46.54326816280384,-84.74819579423402
3,14.583333333333334,7.25,22.0,10.8,8.91,12.41,46.70000329411765,-90.03226088235294
4,15.9,10.0,21.0,9.957142857142857,9.08,10.89,46.713631377551025,-85.8181612244898
5,18.125,16.0,21.5,10.604444444444445,8.88,12.51,46.73053916591115,-84.79163081595648
6,18.633333333333333,14.5,21.0,10.737307692307693,9.0,13.17,46.7482118491921,-90.70342768402155
7,14.0,7.0,22.0,10.49,8.98,11.87,46.7499398,-91.67835515
8,16.26,10.0,21.5,10.93,8.93,15.41,46.779569650872816,-92.05223568578555
9,16.575000166666666,9.75,21.5,11.6095,9.2,12.91,46.81662381818182,-91.88497242424242
10,16.516666666666666,12.7,20.5,11.75206896551724,9.21,13.73,46.84485092633115,-90.18885808898614
11,18.5,18.5,18.5,11.6525,9.62,13.04,46.85539233124019,-86.56770079277865
13,14.65,9.0,19.5,11.623333333333333,9.13,13.19,46.906786358313816,-91.82033172131148
14,19.6,19.6,19.6,12.37375,10.29,13.1,46.9081254825462,-86.59700899383984
15,17.475,14.0,21.0,11.614444444444445,9.01,13.62,46.93217507709251,-87.30496045154185
16,13.5,9.5,18.5,11.861,9.4,13.2,46.938200323101775,-91.44872250403878
17,17.200001,17.200001,17.200001,12.2325,10.37,13.58,46.96835608108108,-85.72824260914761
18,17.257142857142856,15.5,19.0,11.464468085106384,8.83,13.88,47.01655429390997,-88.18290558693734
19,15.774999833333332,5.25,21.0,10.462272727272728,9.09,12.58,47.02663412903226,-89.03834619354838
20,15.7400002,12.7,20.3,12.363809523809524,9.39,13.74,47.0365576031825,-85.10278318746892
21,15.275,9.0,20.5,12.47181818181818,9.04,13.68,47.079829671328675,-86.47776706993007
22,17.45,14.4,20.5,10.871666666666668,9.18,12.44,47.09996952380953,-90.46251714285715
23,16.5600002,12.5,19.200001,12.106,9.27,14.22,47.13138010220769,-91.11174572363042
